Date,Account,Category,Description,Amount
30/08/24,self-cash,Travel,Auto,160
30/08/24,self-card,Travel,Auto,83
30/08/24,self-cash,Travel,Petrol,3500
30/08/24,self-cash,Lifestyle,Bda,215
30/08/24,not-self-cash,Lifestyle,Bda,250
30/08/24,self-card,Lifestyle,Bda,115
30/08/24,self-cash,Food,Neemsi,1700
30/08/24,self-cash,Shopping,Myntra,1649
30/08/24,self-cash,Shopping,Tatacliq,2180
30/08/24,self-card,Food,Naamdhaari,335
30/08/24,self-cash,Food,Naamdhaari,1655
30/08/24,self-card,Shopping,Shoe-rack,5768
30/08/24,self-cash,Grocery,Shoprite,500
30/08/24,not-self-cash,Grocery,Shoprite,1050
30/08/24,not-self-cash,Shopping,Pillows,999
30/08/24,not-self-cash,Food,Cafe,1275
30/08/24,not-self-card,Food,Cafe,981
30/08/24,not-self-card,Travel,Bus-ticket,1360
30/08/24,self-cash,Grocery,Shoprite,600
30/08/24,not-self-cash,Grocery,Shoprite,950
30/08/24,not-self-cash,Health,Sagar,1070
30/08/24,not-self-card,Food,Swiggy-food,408
30/08/24,self-card,Grocery,AFresh,900
30/08/24,not-self-card,Grocery,AFresh,400
30/08/24,self-cash,Lifestyle,Parlour,4270
30/08/24,self-cash,Shopping,Amazon-strap,275
30/08/24,self-card,Grocery,Bigbasket,1857
30/08/24,not-self-card,Grocery,Bigbasket,750
30/08/24,not-self-cash,Health,Manipal,130
30/08/24,self-cash,Food,Kai-Ruchi,880
30/08/24,self-cash,Shopping,Blouse,1350
30/08/24,self-cash,Travel,Petrol,2500
30/08/24,self-cash,Shopping,BDA-Jayanagar-belt,880
30/08/24,not-self-cash,Shopping,BDA-Jayanagar-belt,225
30/08/24,self-cash,Grocery,Shankar,375
30/08/24,not-self-cash,Grocery,Shankar,935
30/08/24,self-cash,Lifestyle,Urban-Company,1000
30/08/24,self-cash,Misc,Isckon,220
30/08/24,self-cash,Grocery,Deeprooted,1430
30/08/24,self-cash,Food,Swiggy-Sagar,150
30/08/24,not-self-cash,Food,Swiggy-Sagar,650
30/08/24,self-cash,Food,Sindhu-Rameshwaram-food,1065
30/08/24,self-card,Grocery,Blinkit,246
30/08/24,self-cash,Food,Sindhu-Youmee,3700
30/08/24,self-cash,Lifestyle,Timezone,3000
30/08/24,self-cash,Food,Sindhu-Smoor,425
30/08/24,self-cash,Food,Sindhu-Donut,595
30/08/24,self-card,Travel,Parking,140
30/08/24,self-cash,Food,benne-dosa,500
30/08/24,self-cash,Food,Sindhu-Venkateshwara,380
30/08/24,self-card,Grocery,Bigbasket,320
30/08/24,not-self-card,Grocery,Bigbasket,300
30/08/24,self-cash,Food,Sindhu-Vidyarthi,900
30/08/24,self-cash,Travel,Metro,260
30/08/24,self-cash,Food,Sindhu-Magnolia,460
30/08/24,self-card,Food,Sindhu-Swiggy-food,509
30/08/24,self-cash,Food,Sindhu-Anand-Brahmnis,400
30/08/24,not-self-card,Food,Sindhu-Anand-Brahmnis,550
30/08/24,self-cash,Food,Sindhu-Corn,350
30/08/24,self-card,Food,Sindhu-Corn,170
30/08/24,self-cash,Travel,Petrol,3500
30/08/24,self-cash,Grocery,Blinkit,320
30/08/24,self-card,Shopping,Rakhi,1300
30/08/24,self-cash,Education,IMTC,600
30/08/24,not-self-cash,Health,Sagar-hospital,420
30/08/24,self-cash,Food,Sindhu-VB-Bakery,920
30/08/24,not-self-cash,Food,Sindhu-VB-Bakery,185
30/08/24,self-cash,Grocery,Shoprite,300
30/08/24,not-self-cash,Grocery,Shoprite,300
30/08/24,self-cash,Grocery,Deeprooted,815
30/08/24,self-card,Travel,Auto,115
30/08/24,self-cash,Grocery,Blinkit,1430
30/08/24,not-self-cash,Grocery,Blinkit,200
30/08/24,self-cash,Travel,Museum,945
30/08/24,self-cash,Shopping,Myntra,1010
30/08/24,self-cash,Grocery,Deeprooted,325
30/08/24,self-cash,Grocery,Shoprite,100
30/08/24,not-self-cash,Grocery,Shoprite,190
30/08/24,not-self-cash,Health,Sagar-hospital,500
30/08/24,not-self-card,Health,Sagar-hospital,92
30/08/24,not-self-cash,Food,Meghana,1180
30/08/24,self-cash,Food,Coffee,80
30/08/24,self-card,Food,Snacks,432
30/08/24,self-cash,Shopping,Westside,1040
30/08/24,self-cash,Education,Mahabharat,3055
30/08/24,self-cash,Travel,Petrol,3000
30/08/24,self-cash,Grocery,Blinkit,850
30/08/24,not-self-cash,Grocery,Blinkit,150
30/08/24,self-cash,Food,Nithin,6000
30/08/24,self-cash,Utility,Maids,5700
