Date,Account,Category,Description,Amount
03/01/25,self-cash,Food,Youmee,5300
03/01/25,self-cash,Utility,Maids,5700
03/01/25,self-card,Travel,Parking,100
03/01/25,self-card,Health,Medical-test,6463
03/01/25,self-cash,Travel,Train,2910
03/01/25,self-cash,Food,Swiggy,2120
06/01/25,self-cash,Travel,Petrol,3000
06/01/25,self-cash,Travel,Mysore-petrol,2000
06/01/25,self-cash,Lifestyle,Mysore-palace,850
06/01/25,self-cash,Lifestyle,Sukhvana,1000
06/01/25,self-cash,Food,Jalpaan,1800
06/01/25,self-card,Health,Saswamrutham,267
06/01/25,self-card,Food,Coconut,60
08/01/25,self-cash,Food,Swiggy,250
08/01/25,self-cash,Health,Medicine,1820
08/01/25,not-self-cash,Health,Medicine,1500
08/01/25,not-self-card,Utility,Tata-play,4037
08/01/25,self-cash,Utility,gas,350
09/01/25,self-cash,Grocery,Shankar,350
09/01/25,not-self-cash,Grocery,Shankar,1500
09/01/25,self-cash,Utility,Act-broadband,300
10/01/25,self-card,Lifestyle,Movie,1158
11/01/25,self-cash,Misc,Plumber,200
11/01/25,self-card,Education,School-fees,22142
11/01/25,self-card,Grocery,Bigbasket,1000
11/01/25,not-self-card,Grocery,Bigbasket,2358
11/01/25,self-cash,Travel,Auto,150
11/01/25,self-cash,Food,Namadari-food,747
11/01/25,self-cash,Travel,Auto,63
12/01/25,self-card,Travel,Parking,90
14/01/25,self-cash,Grocery,Sankranti-veggies-Shoprite,810
14/01/25,not-self-cash,Grocery,Sankranti-veggies-Shoprite,1500
14/01/25,self-cash,Shopping,Blouse-piece,240
14/01/25,not-self-cash,Shopping,Blouse-piece,600
15/01/25,self-cash,Grocery,Blinkit,410
15/01/25,not-self-cash,Grocery,Blinkit,100
15/01/25,self-card,Grocery,Zepto,342
15/01/25,not-self-card,Grocery,Zepto,600
16/01/25,not-self-cash,Health,Sagar-lab,592
16/01/25,self-card,Grocery,Zepto,1500
16/01/25,not-self-card,Grocery,Zepto,155
18/01/25,self-cash,Food,Food,600
18/01/25,self-card,Travel,Auto,130
19/01/25,self-card,Travel,Auto,130
20/01/25,not-self-card,Utility,Mobile-recharge,1999
20/01/25,not-self-card,Grocery,Bigbasket,332
20/01/25,self-cash,Travel,Auto,200
20/01/25,not-self-cash,Food,Panipuri,80
20/01/25,self-card,Food,House-of-common-MTR,3000
20/01/25,not-self-cash,Grocery,Veggies,300
20/01/25,self-card,Grocery,BB,1100
20/01/25,not-self-card,Grocery,BB,119
20/01/25,self-cash,Misc,Plumber,400
20/01/25,self-cash,Grocery,Blinkit,520
22/01/25,self-cash,Health,Medicines,1350
22/01/25,not-self-cash,Health,Medicines,7212
22/01/25,self-cash,Travel,Petrol,3000
22/01/25,not-self-cash,Food,Masala-Puri,185
22/01/25,self-cash,Food,La-Pinos,320
22/01/25,self-card,Education,Amazon-color-mythri,166
24/01/25,not-self-card,Grocery,Blinkit,222
25/01/25,not-self-cash,Grocery,Fruits,475
25/01/25,self-cash,Food,Taco,594
25/01/25,not-self-card,Travel,Uber,162
25/01/25,self-cash,Grocery,Lulu,601
25/01/25,self-card,Travel,Parking,90
25/01/25,self-card,Lifestyle,Prayag-Annual-day,775
25/01/25,self-cash,Grocery,Namadhaari,1000
25/01/25,self-cash,Shopping,Azorte-vihaan-shirts,1000
25/01/25,self-cash,Food,pizza,300
26/01/25,self-cash,Utility,Car-cleaner,1200
26/01/25,self-cash,Food,Swiggy-icecream,300
26/01/25,not-self-cash,Food,Swiggy-icecream,200
27/01/25,self-card,Utility,Airtel,1297
27/01/25,self-cash,Grocery,Instamart,650
28/01/25,self-cash,Grocery,Blinkit,520
28/01/25,not-self-card,Travel,Cab,256
29/01/25,self-card,Food,Pizza,550
29/01/25,self-card,Travel,Auto,62
30/01/25,not-self-cash,Health,Sagar,424
30/01/25,self-cash,Food,Idly,105
30/01/25,self-cash,Grocery,Blinkit,400
31/01/25,self-card,Travel,Auto,160
31/01/25,not-self-card,Grocery,Big-basket,246
31/01/25,self-cash,Lifestyle,Haircut,150
