Date,Account,Category,Description,Amount
03/03/25,self-card,Utility,Act-Broadband,300
03/03/25,self-cash,Food,Burrito,650
03/03/25,self-cash,Food,Theobroma,332
03/03/25,self-card,Food,Cricket-Food,809
03/03/25,self-cash,Utility,Maids,5700
05/03/25,self-cash,Travel,Petrol,3500
05/03/25,self-card,Food,Cocodoo-wallet,200
05/03/25,self-card,Grocery,Zepto,550
05/03/25,not-self-card,Grocery,Zepto,1000
05/03/25,self-cash,Grocery,Blinkit,500
05/03/25,not-self-cash,Food,Meghana,520
05/03/25,self-card,Grocery,Flipkart-minutes,143
06/03/25,self-cash,Food,Airport-food,950
06/03/25,not-self-card,Lifestyle,Lounge,2000
06/03/25,self-card,Travel,Toll,170
06/03/25,self-cash,Travel,Parking,250
06/03/25,self-cash,Food,Swiggy-idly,200
06/03/25,self-cash,Lifestyle,BDA,230
08/03/25,self-cash,Grocery,Shoprite,300
08/03/25,not-self-cash,Grocery,Shoprite,845
08/03/25,self-card,Grocery,Blinkit,1406
08/03/25,self-cash,Utility,Gas,350
08/03/25,self-card,Grocery,Swiggy-Insta,377
08/03/25,not-self-card,Grocery,Swiggy-Insta,200
08/03/25,self-card,Travel,Auto,125
09/03/25,self-card,Travel,Auto,125
09/03/25,self-card,Food,Pancake,360
10/03/25,not-self-cash,Grocery,Royal-Mart,434
10/03/25,not-self-cash,Grocery,Veggies,375
10/03/25,not-self-cash,Health,MedPlus,3144
10/03/25,self-cash,Grocery,Veggies,890
10/03/25,self-cash,Grocery,Shoprite,807
10/03/25,self-cash,Food,Brahmins,140
11/03/25,self-card,Grocery,Zepto,1892
12/03/25,self-card,Travel,Auto,81
12/03/25,self-cash,Shopping,Sindhu-watch,1523
13/03/25,self-cash,Food,Subway-Swiggy,500
14/03/25,not-self-cash,Travel,Manipal-parking,200
14/03/25,not-self-card,Health,Manipal-blood-test,4100
14/03/25,not-self-cash,Health,Manipal-blood-test,2000
14/03/25,not-self-cash,Food,Konark,1300
14/03/25,not-self-card,Food,Corner-house,271
14/03/25,self-cash,Food,Indian-tiffin,500
14/03/25,self-cash,Travel,Petrol,3000
14/03/25,self-cash,Grocery,Flowers,110
14/03/25,self-cash,Grocery,Shankar,610
14/03/25,not-self-cash,Grocery,Shankar,610
14/03/25,self-card,Grocery,Instamart,231
14/03/25,not-self-card,Grocery,Instamart,550
15/03/25,self-cash,Shopping,Blinkit-holi,320
16/03/25,self-cash,Travel,Auto,150
16/03/25,self-cash,Food,Corn-tea-yogurt,637
17/03/25,self-cash,Grocery,Blinkit,700
17/03/25,self-cash,Food,Food-court,650
17/03/25,self-cash,Grocery,Lulu,1120
17/03/25,not-self-cash,Grocery,Lulu,300
17/03/25,self-card,Travel,Parking,90
17/03/25,self-cash,Travel,Manipal-parking,100
17/03/25,self-cash,Travel,Metro,150
17/03/25,self-card,Shopping,Book,131
18/03/25,not-self-card,Travel,Shoffr,1315
19/03/25,not-self-cash,Grocery,Blinkit,1000
20/03/25,self-cash,Health,Medicine,145
20/03/25,not-self-cash,Health,Medicine,185
20/03/25,not-self-cash,Food,MTR,320
20/03/25,self-cash,Grocery,Vasavi,280
20/03/25,not-self-cash,Grocery,Vasavi,500
20/03/25,self-cash,Food,Tiwari,190
20/03/25,self-cash,Health,Doctor-medicine,905
20/03/25,self-cash,Travel,Auto,50
20/03/25,self-card,Travel,Auto,53
20/03/25,self-cash,Food,Juice,80
20/03/25,self-card,Travel,Auto,160
22/03/25,not-self-cash,Shopping,Kitchen-light,1150
23/03/25,self-cash,Travel,Petrol,3102
23/03/25,self-card,Grocery,Blinkit,238
23/03/25,self-cash,Shopping,Drycleaning,2000
23/03/25,self-card,Food,Burger-king,173
25/03/25,self-cash,Food,Swiggy-rameshwaram,346
26/03/25,self-cash,Food,Swiggy-dakshin,300
26/03/25,self-card,Travel,Auto,120
27/03/25,self-card,Grocery,Instamart,920
27/03/25,self-card,Utility,Airtel-broadband-no-reimbursement,1297
28/03/25,self-card,Food,Fufu-pancake,563
30/03/25,self-card,Travel,Auto,62
30/03/25,self-cash,Food,Glen,1007
30/03/25,self-cash,Shopping,Racket,180
30/03/25,self-cash,Shopping,Stationary,320
30/03/25,self-cash,Grocery,Fruits,360
30/03/25,self-card,Grocery,Zepto,544
30/03/25,not-self-card,Grocery,Zepto,1300
30/03/25,not-self-card,Grocery,Blinkit,107
30/03/25,not-self-card,Grocery,Zepto,304
31/03/25,self-cash,Food,Kishen-bowling-food,2000
31/03/25,self-card,Health,One-mg,301
