Date,Account,Category,Description,Amount
02/11/24,self-cash,Food,Swiggy,930
02/11/24,self-cash,Health,Doctor,310
02/11/24,self-card,Grocery,Zepto,313
03/11/24,self-cash,Travel,Auto-cab,70
03/11/24,self-card,Travel,Auto-cab,180
03/11/24,self-card,Lifestyle,Funcity,3200
03/11/24,self-cash,Food,Youmee,2500
03/11/24,self-cash,Food,McD,155
03/11/24,self-cash,Grocery,lulu,1020
04/11/24,self-card,Travel,Auto,50
04/11/24,self-cash,Lifestyle,Temple,320
04/11/24,self-card,Travel,Auto,82
04/11/24,self-card,Travel,Auto,76
04/11/24,self-cash,Grocery,Amazon,300
04/11/24,self-card,Travel,Auto,60
04/11/24,not-self-card,Travel,Auto,125
04/11/24,self-cash,Travel,Auto,70
04/11/24,self-card,Grocery,BB,2323
04/11/24,not-self-card,Grocery,BB,942
05/11/24,self-cash,Grocery,Zepto,706
05/11/24,not-self-cash,Grocery,Zepto,100
06/11/24,self-card,Travel,auto,150
07/11/24,self-card,Travel,auto,76
08/11/24,self-card,Travel,Auto,134
08/11/24,self-card,Travel,Cab,421
08/11/24,self-cash,Travel,Cab,340
09/11/24,self-card,Grocery,BB,423
09/11/24,not-self-card,Grocery,BB,450
09/11/24,self-card,Travel,Auto,165
09/11/24,self-cash,Food,Ishta,1640
09/11/24,self-cash,Lifestyle,Parlor,3606
09/11/24,self-cash,Food,Ice-cream,240
09/11/24,self-cash,Travel,Auto,140
09/11/24,self-cash,Grocery,Blink-it,530
10/11/24,self-cash,Utility,Gas,500
10/11/24,self-card,Grocery,Zepto,1100
10/11/24,self-cash,Grocery,Zepto,500
10/11/24,self-cash,Utility,Car-cleaning,1200
10/11/24,self-card,Travel,Auto,63
11/11/24,self-cash,Health,Doctor,360
11/11/24,self-cash,Lifestyle,Temple,300
12/11/24,not-self-card,Travel,Auto,130
13/11/24,self-card,Health,OneMg,424
13/11/24,self-card,Travel,Auto,230
14/11/24,self-card,Travel,Auto,300
15/11/24,self-cash,Food,Pizzahut,500
15/11/24,self-cash,Lifestyle,Movie,600
15/11/24,self-card,Travel,Auto,185
15/11/24,self-cash,Shopping,Homecentre,1560
16/11/24,self-card,Grocery,Zepto,1120
16/11/24,self-card,Grocery,BB,1006
17/11/24,self-cash,Food,Kishen-Food,1000
17/11/24,self-cash,Travel,Cab,400
17/11/24,self-card,Food,Frozen,400
17/11/24,self-cash,Grocery,Blinkit,300
17/11/24,not-self-cash,Grocery,Blinkit,230
18/11/24,not-self-card,Travel,Auto,87
18/11/24,self-cash,Shopping,Myntra-vihaan,520
18/11/24,self-cash,Health,Doctor,1370
19/11/24,self-card,Lifestyle,UrbanClap,399
19/11/24,self-card,Grocery,Zepto,1230
21/11/24,self-cash,Travel,Auto,100
22/11/24,self-cash,Lifestyle,Temple,140
22/11/24,self-cash,Health,Bda-med,305
22/11/24,self-cash,Lifestyle,Office,100
22/11/24,self-card,Lifestyle,Office,65
23/11/24,self-card,Lifestyle,Urbanclap,272
23/11/24,self-cash,Education,Kumaran,100
23/11/24,self-cash,Food,Swiggy,1100
24/11/24,self-card,Grocery,Zepta,1138
24/11/24,self-cash,Grocery,Namadari-grocery,2170
24/11/24,self-cash,Food,Tiffin,185
24/11/24,not-self-cash,Food,Tiffin,410
28/11/24,self-cash,Food,Third-wave,733
28/11/24,self-cash,Misc,Xerox,230
29/11/24,self-card,Travel,Bus,170
29/11/24,self-card,Lifestyle,BMS,373
30/11/24,self-card,Grocery,Zepto,1263
30/11/24,self-card,Shopping,Myntra,1400
30/11/24,self-card,Travel,Auto,90
30/11/24,self-card,Travel,Auto,205
30/11/24,self-cash,Food,Cake,430
30/11/24,self-cash,Travel,Auto,100
30/11/24,self-card,Lifestyle,Movie-Ticket,290
30/11/24,self-cash,Food,Nacho,300
30/11/24,self-cash,Travel,Petrol,3000
30/11/24,self-cash,Utility,Maid,5700
