Date,Account,Category,Description,Amount
01/10/24,self-card,Grocery,AZ,3150
01/10/24,self-cash,Grocery,BI,520
01/10/24,self-cash,Travel,Auto,80
01/10/24,self-card,Travel,Auto,90
02/10/24,self-cash,Shopping,Lego,4812
02/10/24,self-cash,Utility,Maids,2500
02/10/24,self-cash,Utility,Maids,3200
03/10/24,not-self-cash,Health,Sagar,592
03/10/24,self-cash,Grocery,Shoprite,133
03/10/24,not-self-cash,Grocery,Shoprite,600
03/10/24,self-cash,Grocery,Shankar,375
03/10/24,not-self-cash,Grocery,Shankar,991
03/10/24,self-card,Grocery,AZ-Fresh,1379
03/10/24,not-self-card,Grocery,AZ-Fresh,1751
04/10/24,self-cash,Shopping,Myntra,2016
04/10/24,self-cash,Shopping,Ajio,2520
05/10/24,self-cash,Food,Pancake,170
06/10/24,self-cash,Lifestyle,Vasavi-thaddinam,270
06/10/24,self-cash,Food,Brahmins,280
06/10/24,self-card,Gift,Babai-pan,107
06/10/24,self-cash,Food,Pizza,470
07/10/24,self-cash,Food,Swiggy,540
08/10/24,self-cash,Grocery,Veggies-SRite,140
08/10/24,not-self-cash,Grocery,Veggies-SRite,642
08/10/24,self-cash,Grocery,Blinkit,540
08/10/24,self-card,Shopping,AZ-citric-caustic,505
09/10/24,self-cash,Travel,Petrol,3000
09/10/24,self-cash,Grocery,Zepto,290
09/10/24,not-self-cash,Grocery,Zepto,750
10/10/24,self-cash,Food,UTK,1500
10/10/24,self-cash,Lifestyle,Funcity,2700
10/10/24,self-cash,Grocery,Lulu,1632
10/10/24,self-card,Food,SW-breakfast,262
10/10/24,self-card,Food,Icecream,68
10/10/24,self-cash,Travel,Parking,110
11/10/24,self-cash,Shopping,Saree-plus,3
11/10/24,self-cash,Shopping,blouse-pieces,1700
11/10/24,self-card,Travel,Auto,93
11/10/24,self-cash,Lifestyle,Festival-expenses,200
11/10/24,not-self-cash,Lifestyle,Festival-expenses,200
11/10/24,self-cash,Grocery,Vadibeyam-samanlu,150
12/10/24,self-cash,Food,food,660
12/10/24,self-cash,Lifestyle,Adi-Temple,610
14/10/24,not-self-cash,Food,Athitya,330
14/10/24,not-self-cash,Grocery,Veggies,110
14/10/24,self-cash,Grocery,Veggies,110
14/10/24,self-cash,Food,Pizza,260
14/10/24,self-cash,Utility,Gas,400
14/10/24,self-cash,Grocery,Zepto,510
16/10/24,self-cash,Travel,Petrol,3000
16/10/24,self-cash,Grocery,Threptin,1000
16/10/24,self-cash,Grocery,Shoprite,500
16/10/24,not-self-cash,Grocery,Shoprite,582
17/10/24,not-self-cash,Grocery,Shoprite,750
17/10/24,not-self-cash,Health,Sagar,424
17/10/24,self-cash,Food,Bday-cake,4000
17/10/24,self-cash,Food,Pizza-advance,1000
17/10/24,not-self-cash,Grocery,Light,520
17/10/24,self-cash,Shopping,Birth-day-decor-and-return-gifts,3100
17/10/24,self-card,Shopping,Birth-day-decor-and-return-gifts,1160
17/10/24,self-cash,Shopping,Stationary,120
18/10/24,self-cash,Shopping,Pencils,250
19/10/24,self-cash,Food,Swiggy,520
19/10/24,self-card,Lifestyle,VR-game,150
20/10/24,self-cash,Grocery,Dmart,3180
20/10/24,self-cash,Food,Pizza,1300
20/10/24,self-cash,Food,Cake,500
20/10/24,self-cash,Food,Samosa,500
20/10/24,self-cash,Lifestyle,Cutting,1150
21/10/24,self-cash,Grocery,Vasavi,900
21/10/24,self-cash,Lifestyle,Urben-clap,500
21/10/24,self-cash,Grocery,zepto,520
21/10/24,self-cash,Grocery,instant-mix,370
21/10/24,self-cash,Health,Doctor,600
24/10/24,self-cash,Shopping,shorts,1540
24/10/24,self-cash,Grocery,Zepto,602
24/10/24,self-card,Travel,Auto,165
24/10/24,self-cash,Health,Doctor-dressing,285
26/10/24,self-card,Travel,Auto,131
26/10/24,self-card,Grocery,Megha,270
26/10/24,self-cash,Travel,Driver,500
26/10/24,self-cash,Food,Meghana,1210
26/10/24,self-cash,Grocery,Zepto,500
26/10/24,not-self-cash,Grocery,Zepto,500
27/10/24,self-card,Food,Food,376
27/10/24,self-card,Travel,Auto,163
27/10/24,self-cash,Travel,Auto,70
28/10/24,self-cash,Food,Swiggy,530
29/10/24,self-cash,Food,Swiggy,550
29/10/24,self-cash,Travel,Auto,130
29/10/24,self-card,Travel,Auto,150
29/10/24,self-card,Travel,Auto,100
29/10/24,self-cash,Health,Doctor,290
31/10/24,self-cash,Grocery,Blinkit,1225
31/10/24,not-self-cash,Grocery,Blinkit,275
31/10/24,self-cash,Shopping,Crackers,3450
31/10/24,self-cash,Lifestyle,Bda,1349
31/10/24,self-card,Food,Cane-juice,45
