Date,Account,Category,Description,Amount
02/09/24,self-card,Grocery,BB,776
02/09/24,not-self-card,Grocery,BB,1900
02/09/24,self-cash,Utility,Maid,3700
02/09/24,self-cash,Grocery,Namdhaari,1450
02/09/24,self-cash,Food,Burrito,850
02/09/24,not-self-cash,Grocery,Veggies,130
02/09/24,self-cash,Food,Swiggy,200
02/09/24,self-cash,Lifestyle,Ironing,1000
02/09/24,self-cash,Food,Myt-tea,105
02/09/24,self-cash,Food,Swiggy,580
02/09/24,self-cash,Travel,Bike-Petrol,1000
02/09/24,self-cash,Health,Medplus,1000
02/09/24,self-card,Travel,Auto,170
02/09/24,self-cash,Food,Icecream,300
02/09/24,self-cash,Grocery,Deeprooted,930
02/09/24,not-self-cash,Grocery,Deeprooted,742
02/09/24,self-cash,Grocery,Shankar,610
02/09/24,not-self-cash,Grocery,Shankar,610
02/09/24,not-self-cash,Health,Medplus,5120
02/09/24,self-cash,Lifestyle,Music-Museum,750
02/09/24,self-cash,Food,Anand-waffle,725
02/09/24,self-cash,Grocery,Vasavi,295
02/09/24,self-cash,Lifestyle,Bedbugs,500
02/09/24,not-self-cash,Lifestyle,Bedbugs,3400
02/09/24,not-self-card,Health,Sagar,424
02/09/24,self-cash,Grocery,Veggies,45
02/09/24,not-self-cash,Grocery,Veggies,465
02/09/24,self-cash,Shopping,Myntra-night-pant,1650
02/09/24,self-cash,Shopping,Amazon-paan-pillow,261
02/09/24,not-self-card,Shopping,Amazon-paan-pillow,386
02/09/24,self-cash,Food,Amudham,280
02/09/24,self-cash,Grocery,Shoprite,627
02/09/24,not-self-cash,Grocery,Shoprite,714
02/09/24,self-cash,Grocery,BDA-Blinkit,1060
02/09/24,self-cash,Shopping,Amazon-wipes-kajal,1020
02/09/24,self-cash,Shopping,Ramraj-kurnool,1100
02/09/24,self-cash,Shopping,Sindhu-blouse,2000
02/09/24,self-cash,Travel,Tirupati-petrol,5550
02/09/24,self-cash,Food,Tirupati-food,3055
02/09/24,self-cash,Lifestyle,Tirupati-Kanipakam,600
02/09/24,self-card,Food,Swiggy,722
02/09/24,not-self-cash,Shopping,Keyboard,210
02/09/24,self-cash,Grocery,Deeproot,1040
02/09/24,self-cash,Travel,Auto,190
02/09/24,self-cash,Grocery,Shorite-Zepto,410
02/09/24,not-self-cash,Grocery,Shorite-Zepto,749
02/09/24,self-cash,Health,Sagar,424
02/09/24,not-self-card,Travel,Uber,82
02/09/24,self-cash,Food,Food-swiggy,340
02/09/24,self-cash,Travel,Petrol,3000
02/09/24,self-card,Travel,Auto,200
02/09/24,self-cash,Shopping,Ajio,1060
02/09/24,self-cash,Grocery,Blinkit,1235
02/09/24,self-card,Food,Swiggy,77
02/09/24,self-cash,Food,Amudham,366
02/09/24,self-card,Grocery,Bigbasket,132
02/09/24,not-self-card,Grocery,Bigbasket,190
02/09/24,not-self-card,Food,Burrito,920
02/09/24,self-cash,Utility,Recharge,2000
02/09/24,self-cash,Shopping,Naamdhari,400
02/09/24,self-cash,Lifestyle,Temple,250
02/09/24,self-cash,Grocery,Body-wash,213
02/09/24,self-cash,Travel,Auto,400
02/09/24,self-card,Travel,Auto,190
02/09/24,self-cash,Grocery,Shoprite,100
02/09/24,not-self-cash,Grocery,Shoprite,820
02/09/24,self-cash,Grocery,Zepto,1060
02/09/24,self-cash,Shopping,Myntra,1485
02/09/24,self-cash,Food,Glen-bakery,422
02/09/24,self-card,Grocery,Amazon,5305
02/09/24,not-self-card,Grocery,Amazon,900
02/09/24,self-cash,Grocery,Blinkit,610
02/09/24,self-cash,Travel,Petrol,3000
02/09/24,self-cash,Food,Venezia,1250
02/09/24,self-card,Lifestyle,Tpty,1179
02/09/24,self-cash,Shopping,Myntra,3500
