Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
01/12/24	self-cash	Health		Medicine	250	Expense		250	INR	250
01/12/24	not-self-cash	Health		Medicine	284	Expense		284	INR	284
01/12/24	self-card	Food		Nithin	925	Expense		925	INR	925
03/12/24	self-card	Travel		Auto	210	Expense		210	INR	210
03/12/24	self-card	Grocery		Zepto	640	Expense		640	INR	640
03/12/24	not-self-card	Grocery		Zepto	775	Expense		775	INR	775
03/12/24	self-cash	Utility		Maids	5700	Expense		5700	INR	5700
03/12/24	self-cash	Food		Krishna-grand-food	750	Expense		750	INR	750
03/12/24	self-card	Education		Files	250	Expense		250	INR	250
04/12/24	self-card	Grocery		Big-basket	840	Expense		840	INR	840
04/12/24	not-self-card	Grocery		Big-basket	812	Expense		812	INR	812
04/12/24	self-cash	Misc		Electrician	3000	Expense		3000	INR	3000
04/12/24	self-cash	Shopping		Myntra	1230	Expense		1230	INR	1230
04/12/24	self-cash	Travel		Auto	110	Expense		110	INR	110
05/12/24	self-cash	Misc		Photo	977	Expense		977	INR	977
05/12/24	self-card	Travel		Auto	83	Expense		83	INR	83
05/12/24	self-card	Food		Cake	80	Expense		80	INR	80
05/12/24	self-card	Education		Files	250	Expense		250	INR	250
06/12/24	self-cash	Lifestyle		Visa	850	Expense		850	INR	850
06/12/24	self-cash	Food		Food-Anand	345	Expense		345	INR	345
06/12/24	self-card	Education		School-dress	682	Expense		682	INR	682
06/12/24	self-card	Grocery		Zepto	1597	Expense		1597	INR	1597
06/12/24	not-self-card	Grocery		Zepto	446	Expense		446	INR	446
08/12/24	not-self-cash	Grocery		Shoprite	1339	Expense		1339	INR	1339
08/12/24	self-cash	Grocery		Shoprite	414	Expense		414	INR	414
08/12/24	self-card	Food		Swiggy-snacks	417	Expense		417	INR	417
08/12/24	self-cash	Food		Swiggy-Meghana	1210	Expense		1210	INR	1210
09/12/24	self-cash	Misc		Plumber	500	Expense		500	INR	500
09/12/24	self-cash	Shopping		Myntra-GT-jacket	2950	Expense		2950	INR	2950
09/12/24	self-cash	Lifestyle		Parlour	3000	Expense		3000	INR	3000
11/12/24	self-cash	Utility		Gas	540	Expense		540	INR	540
11/12/24	self-card	Grocery		Zepto	952	Expense		952	INR	952
11/12/24	not-self-card	Grocery		Zepto	400	Expense		400	INR	400
11/12/24	self-cash	Misc		Electrician	500	Expense		500	INR	500
11/12/24	self-cash	Travel		Auto	130	Expense		130	INR	130
12/12/24	not-self-cash	Health		Sagar-blood	592	Expense		592	INR	592
12/12/24	self-cash	Food		Brahmins-idly	125	Expense		125	INR	125
12/12/24	self-card	Travel		Auto	260	Expense		260	INR	260
12/12/24	self-cash	Lifestyle		Visa-delivery	850	Expense		850	INR	850
12/12/24	self-cash	Food		Smoor	570	Expense		570	INR	570
