Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
02/02/25	self-cash	Food		Pan-cake	372	Expense		372	INR	372
02/02/25	self-card	Travel		Auto	125	Expense		125	INR	125
02/02/25	self-cash	Lifestyle		Urben-clap	900	Expense		900	INR	900
02/02/25	self-cash	Travel		Petrol	2000	Expense		2000	INR	2000
02/02/25	self-card	Travel		Tol	555	Expense		555	INR	555
02/02/25	self-cash	Food		Amudham	405	Expense		405	INR	405
03/02/25	self-cash	Food		Burrito	500	Expense		500	INR	500
03/02/25	self-card	Food		Burrito	85	Expense		85	INR	85
03/02/25	self-cash	Travel		Airport-parking	150	Expense		150	INR	150
03/02/25	self-card	Travel		Airport-parking	150	Expense		150	INR	150
03/02/25	self-card	Grocery		Blinkit	100	Expense		100	INR	100
03/02/25	not-self-card	Grocery		Blinkit	126	Expense		126	INR	126
03/02/25	self-card	Travel		Toll	170	Expense		170	INR	170
03/02/25	self-cash	Travel		Petrol	3500	Expense		3500	INR	3500
03/02/25	self-cash	Grocery		Fruits	270	Expense		270	INR	270
03/02/25	self-cash	Grocery		Hair-oil	520	Expense		520	INR	520
03/02/25	self-cash	Utility		Maids	4700	Expense		4700	INR	4700
03/02/25	self-card	Utility		Maids	1000	Expense		1000	INR	1000
04/02/25	self-cash	Food		Idly	105	Expense		105	INR	105
04/02/25	self-cash	Grocery		Veggies	587	Expense		587	INR	587
04/02/25	self-card	Lifestyle		Shofr-taxi	1315	Expense		1315	INR	1315
04/02/25	self-cash	Grocery		Lulu	1077	Expense		1077	INR	1077
04/02/25	self-cash	Food		Swiggy-Meghana	1020	Expense		1020	INR	1020
04/02/25	self-card	Food		Juice	83	Expense		83	INR	83
04/02/25	self-card	Shopping		Raymond-bava	399	Expense		399	INR	399
04/02/25	self-card	Travel		Toll	90	Expense		90	INR	90
04/02/25	self-cash	Lifestyle		BDA	130	Expense		130	INR	130
04/02/25	self-cash	Lifestyle		Fatafat	170	Expense		170	INR	170
04/02/25	self-cash	Food		Benne-dosa	400	Expense		400	INR	400
05/02/25	self-cash	Food		Anand	270	Expense		270	INR	270
05/02/25	self-card	Utility		ACT	300	Expense		300	INR	300
05/02/25	self-card	Grocery		BigBasket	1728	Expense		1728	INR	1728
05/02/25	not-self-card	Grocery		BigBasket	586	Expense		586	INR	586
05/02/25	self-card	Food		Dakshintindi	140	Expense		140	INR	140
05/02/25	self-cash	Shopping		Cross-world	240	Expense		240	INR	240
05/02/25	self-card	Shopping		Cross-world	159	Expense		159	INR	159
05/02/25	self-card	Travel		Auto	146	Expense		146	INR	146
06/02/25	self-cash	Travel		Auto	247	Expense		247	INR	247
06/02/25	self-cash	Shopping		Stationary	430	Expense		430	INR	430
07/02/25	self-cash	Food		Milano	480	Expense		480	INR	480
08/02/25	self-cash	Food		Pump-house	3000	Expense		3000	INR	3000
08/02/25	self-cash	Food		Naamdhaari	100	Expense		100	INR	100
08/02/25	not-self-cash	Grocery		Kumbakonam-coffee	900	Expense		900	INR	900
08/02/25	self-card	Food		Bfast	138	Expense		138	INR	138
09/02/25	self-cash	Grocery		Blinkit	500	Expense		500	INR	500
09/02/25	not-self-cash	Grocery		Blinkit	1500	Expense		1500	INR	1500
09/02/25	self-cash	Grocery		Royal-Mart	200	Expense		200	INR	200
09/02/25	not-self-cash	Grocery		Royal-Mart	800	Expense		800	INR	800
11/02/25	self-cash	Food		Atithi	210	Expense		210	INR	210
11/02/25	self-cash	Grocery		Zepto	1005	Expense		1005	INR	1005
11/02/25	self-cash	Travel		Petrol	3500	Expense		3500	INR	3500
12/02/25	self-cash	Grocery		Swiggy-Insta	1020	Expense		1020	INR	1020
12/02/25	self-cash	Utility		Gas	435	Expense		435	INR	435
13/02/25	self-cash	Food		Dakshin-thindi	265	Expense		265	INR	265
13/02/25	self-card	Grocery		Big-basket	120	Expense		120	INR	120
13/02/25	not-self-card	Grocery		Big-basket	210	Expense		210	INR	210
13/02/25	self-cash	Food		Swiggy-food	500	Expense		500	INR	500
13/02/25	self-cash	Travel		Parking	150	Expense		150	INR	150
13/02/25	self-card	Travel		Parking	73	Expense		73	INR	73
13/02/25	self-card	Lifestyle		Passport	2500	Expense		2500	INR	2500
15/02/25	self-cash	Grocery		Files-and-vasavi	1000	Expense		1000	INR	1000
15/02/25	self-cash	Shopping		Eye-brow-pencil	800	Expense		800	INR	800
15/02/25	self-card	Travel		Auto	70	Expense		70	INR	70
15/02/25	self-card	Food		Pizzahut	393	Expense		393	INR	393
15/02/25	self-cash	Lifestyle		Car-wash	400	Expense		400	INR	400
15/02/25	self-cash	Travel		Petrol	1870	Expense		1870	INR	1870
16/02/25	self-cash	Food		Food	317	Expense		317	INR	317
16/02/25	self-cash	Grocery		Grocery	979	Expense		979	INR	979
16/02/25	self-cash	Travel		Auto	220	Expense		220	INR	220
16/02/25	self-cash	Food		Coconut	60	Expense		60	INR	60
17/02/25	self-cash	Grocery		Groceries	1931	Expense		1931	INR	1931
17/02/25	not-self-cash	Grocery		Groceries	1200	Expense		1200	INR	1200
19/02/25	self-card	Grocery		Amazon-bed-bug	279	Expense		279	INR	279
19/02/25	self-cash	Grocery		Blinkit	900	Expense		900	INR	900
19/02/25	not-self-cash	Grocery		Blinkit	201	Expense		201	INR	201
19/02/25	self-cash	Travel		Auto	50	Expense		50	INR	50
19/02/25	self-card	Travel		Auto	52	Expense		52	INR	52
19/02/25	not-self-card	Grocery		Swiggy-Instamart	267	Expense		267	INR	267
20/02/25	not-self-card	Food		swiggy-rasmalai	413	Expense		413	INR	413
20/02/25	self-cash	Grocery		whole-truth	890	Expense		890	INR	890
20/02/25	not-self-card	Travel		Auto	56	Expense		56	INR	56
20/02/25	not-self-cash	Grocery		Shampoo	250	Expense		250	INR	250
20/02/25	self-cash	Grocery		Wood-medicine	700	Expense		700	INR	700
20/02/25	self-cash	Travel		Petrol	3400	Expense		3400	INR	3400
20/02/25	self-cash	Grocery		Flowers	90	Expense		90	INR	90
20/02/25	self-card	Grocery		AZ-paan	267	Expense		267	INR	267
21/02/25	self-cash	Grocery		Blink-it	610	Expense		610	INR	610
22/02/25	self-cash	Travel		Ikea-metro	200	Expense		200	INR	200
22/02/25	self-cash	Shopping		Ikea	1500	Expense		1500	INR	1500
