Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
03/03/25	self-card	Utility		Act-Broadband	300	Expense		300	INR	300
03/03/25	self-cash	Food		Burrito	650	Expense		650	INR	650
03/03/25	self-cash	Food		Theobroma	332	Expense		332	INR	332
03/03/25	self-card	Food		Cricket-Food	809	Expense		809	INR	809
03/03/25	self-cash	Utility		Maids	5700	Expense		5700	INR	5700
05/03/25	self-cash	Travel		Petrol	3500	Expense		3500	INR	3500
05/03/25	self-card	Food		Cocodoo-wallet	200	Expense		200	INR	200
05/03/25	self-card	Grocery		Zepto	550	Expense		550	INR	550
05/03/25	not-self-card	Grocery		Zepto	1000	Expense		1000	INR	1000
05/03/25	self-cash	Grocery		Blinkit	500	Expense		500	INR	500
05/03/25	not-self-cash	Food		Meghana	520	Expense		520	INR	520
05/03/25	self-card	Grocery		Flipkart-minutes	143	Expense		143	INR	143
06/03/25	self-cash	Food		Airport-food	950	Expense		950	INR	950
06/03/25	not-self-card	Lifestyle		Lounge	2000	Expense		2000	INR	2000
06/03/25	self-card	Travel		Toll	170	Expense		170	INR	170
06/03/25	self-cash	Travel		Parking	250	Expense		250	INR	250
06/03/25	self-cash	Food		Swiggy-idly	200	Expense		200	INR	200
06/03/25	self-cash	Lifestyle		BDA	230	Expense		230	INR	230
08/03/25	self-cash	Grocery		Shoprite	300	Expense		300	INR	300
08/03/25	not-self-cash	Grocery		Shoprite	845	Expense		845	INR	845
08/03/25	self-card	Grocery		Blinkit	1406	Expense		1406	INR	1406
08/03/25	self-cash	Utility		Gas	350	Expense		350	INR	350
08/03/25	self-card	Grocery		Swiggy-Insta	377	Expense		377	INR	377
08/03/25	not-self-card	Grocery		Swiggy-Insta	200	Expense		200	INR	200
08/03/25	self-card	Travel		Auto	125	Expense		125	INR	125
09/03/25	self-card	Travel		Auto	125	Expense		125	INR	125
09/03/25	self-card	Food		Pancake	360	Expense		360	INR	360
10/03/25	not-self-cash	Grocery		Royal-Mart	434	Expense		434	INR	434
10/03/25	not-self-cash	Grocery		Veggies	375	Expense		375	INR	375
10/03/25	not-self-cash	Health		MedPlus	3144	Expense		3144	INR	3144
10/03/25	self-cash	Grocery		Veggies	890	Expense		890	INR	890
10/03/25	self-cash	Grocery		Shoprite	807	Expense		807	INR	807
10/03/25	self-cash	Food		Brahmins	140	Expense		140	INR	140
11/03/25	self-card	Grocery		Zepto	1892	Expense		1892	INR	1892
12/03/25	self-card	Travel		Auto	81	Expense		81	INR	81
12/03/25	self-cash	Shopping		Sindhu-watch	1523	Expense		1523	INR	1523
13/03/25	self-cash	Food		Subway-Swiggy	500	Expense		500	INR	500
14/03/25	not-self-cash	Travel		Manipal-parking	200	Expense		200	INR	200
14/03/25	not-self-card	Health		Manipal-blood-test	4100	Expense		4100	INR	4100
14/03/25	not-self-cash	Health		Manipal-blood-test	2000	Expense		2000	INR	2000
14/03/25	not-self-cash	Food		Konark	1300	Expense		1300	INR	1300
14/03/25	not-self-card	Food		Corner-house	271	Expense		271	INR	271
14/03/25	self-cash	Food		Indian-tiffin	500	Expense		500	INR	500
14/03/25	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
14/03/25	self-cash	Grocery		Flowers	110	Expense		110	INR	110
14/03/25	self-cash	Grocery		Shankar	610	Expense		610	INR	610
14/03/25	not-self-cash	Grocery		Shankar	610	Expense		610	INR	610
14/03/25	self-card	Grocery		Instamart	231	Expense		231	INR	231
14/03/25	not-self-card	Grocery		Instamart	550	Expense		550	INR	550
15/03/25	self-cash	Shopping		Blinkit-holi	320	Expense		320	INR	320
16/03/25	self-cash	Travel		Auto	150	Expense		150	INR	150
16/03/25	self-cash	Food		Corn-tea-yogurt	637	Expense		637	INR	637
17/03/25	self-cash	Grocery		Blinkit	700	Expense		700	INR	700
17/03/25	self-cash	Food		Food-court	650	Expense		650	INR	650
17/03/25	self-cash	Grocery		Lulu	1120	Expense		1120	INR	1120
17/03/25	not-self-cash	Grocery		Lulu	300	Expense		300	INR	300
17/03/25	self-card	Travel		Parking	90	Expense		90	INR	90
17/03/25	self-cash	Travel		Manipal-parking	100	Expense		100	INR	100
17/03/25	self-cash	Travel		Metro	150	Expense		150	INR	150
17/03/25	self-card	Shopping		Book	131	Expense		131	INR	131
18/03/25	not-self-card	Travel		Shoffr	1315	Expense		1315	INR	1315
19/03/25	not-self-cash	Grocery		Blinkit	1000	Expense		1000	INR	1000
20/03/25	self-cash	Health		Medicine	145	Expense		145	INR	145
20/03/25	not-self-cash	Health		Medicine	185	Expense		185	INR	185
20/03/25	not-self-cash	Food		MTR	320	Expense		320	INR	320
20/03/25	self-cash	Grocery		Vasavi	280	Expense		280	INR	280
20/03/25	not-self-cash	Grocery		Vasavi	500	Expense		500	INR	500
20/03/25	self-cash	Food		Tiwari	190	Expense		190	INR	190
20/03/25	self-cash	Health		Doctor-medicine	905	Expense		905	INR	905
20/03/25	self-cash	Travel		Auto	50	Expense		50	INR	50
20/03/25	self-card	Travel		Auto	53	Expense		53	INR	53
20/03/25	self-cash	Food		Juice	80	Expense		80	INR	80
20/03/25	self-card	Travel		Auto	160	Expense		160	INR	160
22/03/25	not-self-cash	Shopping		Kitchen-light	1150	Expense		1150	INR	1150
23/03/25	self-cash	Travel		Petrol	3102	Expense		3102	INR	3102
23/03/25	self-card	Grocery		Blinkit	238	Expense		238	INR	238
