Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
02/09/24	self-card	Grocery		BB	776	Expense		776	INR	776
02/09/24	not-self-card	Grocery		BB	1900	Expense		1900	INR	1900
02/09/24	self-cash	Utility		Maid	3700	Expense		3700	INR	3700
02/09/24	self-cash	Grocery		Namdhaari	1450	Expense		1450	INR	1450
02/09/24	self-cash	Food		Burrito	850	Expense		850	INR	850
02/09/24	not-self-cash	Grocery		Veggies	130	Expense		130	INR	130
02/09/24	self-cash	Food		Swiggy	200	Expense		200	INR	200
02/09/24	self-cash	Lifestyle		Ironing	1000	Expense		1000	INR	1000
02/09/24	self-cash	Food		Myt-tea	105	Expense		105	INR	105
02/09/24	self-cash	Food		Swiggy	580	Expense		580	INR	580
02/09/24	self-cash	Travel		Bike-Petrol	1000	Expense		1000	INR	1000
02/09/24	self-cash	Health		Medplus	1000	Expense		1000	INR	1000
02/09/24	self-card	Travel		Auto	170	Expense		170	INR	170
02/09/24	self-cash	Food		Icecream	300	Expense		300	INR	300
02/09/24	self-cash	Grocery		Deeprooted	930	Expense		930	INR	930
02/09/24	not-self-cash	Grocery		Deeprooted	742	Expense		742	INR	742
02/09/24	self-cash	Grocery		Shankar	610	Expense		610	INR	610
02/09/24	not-self-cash	Grocery		Shankar	610	Expense		610	INR	610
02/09/24	not-self-cash	Health		Medplus	5120	Expense		5120	INR	5120
02/09/24	self-cash	Lifestyle		Music-Museum	750	Expense		750	INR	750
02/09/24	self-cash	Food		Anand-waffle	725	Expense		725	INR	725
02/09/24	self-cash	Grocery		Vasavi	295	Expense		295	INR	295
02/09/24	self-cash	Lifestyle		Bedbugs	500	Expense		500	INR	500
02/09/24	not-self-cash	Lifestyle		Bedbugs	3400	Expense		3400	INR	3400
02/09/24	not-self-card	Health		Sagar	424	Expense		424	INR	424
02/09/24	self-cash	Grocery		Veggies	45	Expense		45	INR	45
02/09/24	not-self-cash	Grocery		Veggies	465	Expense		465	INR	465
02/09/24	self-cash	Shopping		Myntra-night-pant	1650	Expense		1650	INR	1650
02/09/24	self-cash	Shopping		Amazon-paan-pillow	261	Expense		261	INR	261
02/09/24	not-self-card	Shopping		Amazon-paan-pillow	386	Expense		386	INR	386
02/09/24	self-cash	Food		Amudham	280	Expense		280	INR	280
02/09/24	self-cash	Grocery		Shoprite	627	Expense		627	INR	627
02/09/24	not-self-cash	Grocery		Shoprite	714	Expense		714	INR	714
02/09/24	self-cash	Grocery		BDA-Blinkit	1060	Expense		1060	INR	1060
02/09/24	self-cash	Shopping		Amazon-wipes-kajal	1020	Expense		1020	INR	1020
02/09/24	self-cash	Shopping		Ramraj-kurnool	1100	Expense		1100	INR	1100
02/09/24	self-cash	Shopping		Sindhu-blouse	2000	Expense		2000	INR	2000
02/09/24	self-cash	Travel		Tirupati-petrol	5550	Expense		5550	INR	5550
02/09/24	self-cash	Food		Tirupati-food	3055	Expense		3055	INR	3055
02/09/24	self-cash	Lifestyle		Tirupati-Kanipakam	600	Expense		600	INR	600
02/09/24	self-card	Food		Swiggy	722	Expense		722	INR	722
02/09/24	not-self-cash	Shopping		Keyboard	210	Expense		210	INR	210
02/09/24	self-cash	Grocery		Deeproot	1040	Expense		1040	INR	1040
02/09/24	self-cash	Travel		Auto	190	Expense		190	INR	190
02/09/24	self-cash	Grocery		Shorite-Zepto	410	Expense		410	INR	410
02/09/24	not-self-cash	Grocery		Shorite-Zepto	749	Expense		749	INR	749
02/09/24	self-cash	Health		Sagar	424	Expense		424	INR	424
02/09/24	not-self-card	Travel		Uber	82	Expense		82	INR	82
02/09/24	self-cash	Food		Food-swiggy	340	Expense		340	INR	340
02/09/24	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
02/09/24	self-card	Travel		Auto	200	Expense		200	INR	200
02/09/24	self-cash	Shopping		Ajio	1060	Expense		1060	INR	1060
02/09/24	self-cash	Grocery		Blinkit	1235	Expense		1235	INR	1235
02/09/24	self-card	Food		Swiggy	77	Expense		77	INR	77
02/09/24	self-cash	Food		Amudham	366	Expense		366	INR	366
02/09/24	self-card	Grocery		Bigbasket	132	Expense		132	INR	132
02/09/24	not-self-card	Grocery		Bigbasket	190	Expense		190	INR	190
02/09/24	not-self-card	Food		Burrito	920	Expense		920	INR	920
02/09/24	self-cash	Utility		Recharge	2000	Expense		2000	INR	2000
02/09/24	self-cash	Shopping		Naamdhari	400	Expense		400	INR	400
02/09/24	self-cash	Lifestyle		Temple	250	Expense		250	INR	250
02/09/24	self-cash	Grocery		Body-wash	213	Expense		213	INR	213
02/09/24	self-cash	Travel		Auto	400	Expense		400	INR	400
02/09/24	self-card	Travel		Auto	190	Expense		190	INR	190
02/09/24	self-cash	Grocery		Shoprite	100	Expense		100	INR	100
02/09/24	not-self-cash	Grocery		Shoprite	820	Expense		820	INR	820
02/09/24	self-cash	Grocery		Zepto	1060	Expense		1060	INR	1060
02/09/24	self-cash	Shopping		Myntra	1485	Expense		1485	INR	1485
02/09/24	self-cash	Food		Glen-bakery	422	Expense		422	INR	422
02/09/24	self-card	Grocery		Amazon	5305	Expense		5305	INR	5305
02/09/24	not-self-card	Grocery		Amazon	900	Expense		900	INR	900
02/09/24	self-cash	Grocery		Blinkit	610	Expense		610	INR	610
02/09/24	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
02/09/24	self-cash	Food		Venezia	1250	Expense		1250	INR	1250
02/09/24	self-card	Lifestyle		Tpty	1179	Expense		1179	INR	1179
02/09/24	self-cash	Shopping		Myntra	3500	Expense		3500	INR	3500
