Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
03/01/25	self-cash	Food		Youmee	5300	Expense		5300	INR	5300
03/01/25	self-card	Travel		Parking	100	Expense		100	INR	100
03/01/25	self-card	Health		Medical-test	6463	Expense		6463	INR	6463
03/01/25	self-cash	Travel		Train	2910	Expense		2910	INR	2910
03/01/25	self-cash	Food		Swiggy	2120	Expense		2120	INR	2120
06/01/25	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
06/01/25	self-cash	Travel		Mysore-petrol	2000	Expense		2000	INR	2000
06/01/25	self-cash	Lifestyle		Mysore-palace	850	Expense		850	INR	850
06/01/25	self-cash	Lifestyle		Sukhvana	1000	Expense		1000	INR	1000
06/01/25	self-cash	Food		Jalpaan	1800	Expense		1800	INR	1800
06/01/25	self-card	Health		Saswamrutham	267	Expense		267	INR	267
06/01/25	self-card	Food		Coconut	60	Expense		60	INR	60
08/01/25	self-cash	Food		Swiggy	250	Expense		250	INR	250
08/01/25	self-cash	Health		Medicine	1820	Expense		1820	INR	1820
08/01/25	not-self-cash	Health		Medicine	1500	Expense		1500	INR	1500
08/01/25	not-self-card	Utility		Tata-play	4037	Expense		4037	INR	4037
08/01/25	self-cash	Utility		gas	350	Expense		350	INR	350
09/01/25	self-cash	Grocery		Shankar	350	Expense		350	INR	350
09/01/25	not-self-cash	Grocery		Shankar	1500	Expense		1500	INR	1500
09/01/25	self-cash	Utility		Act-broadband	300	Expense		300	INR	300
10/01/25	self-card	Lifestyle		Movie	1158	Expense		1158	INR	1158
11/01/25	self-cash	Misc		Plumber	200	Expense		200	INR	200
11/01/25	self-card	Education		School-fees	22142	Expense		22142	INR	22142
11/01/25	self-card	Grocery		Bigbasket	1000	Expense		1000	INR	1000
11/01/25	not-self-card	Grocery		Bigbasket	2358	Expense		2358	INR	2358
11/01/25	self-cash	Travel		Auto	150	Expense		150	INR	150
11/01/25	self-cash	Food		Namadari-food	747	Expense		747	INR	747
11/01/25	self-cash	Travel		Auto	63	Expense		63	INR	63
12/01/25	self-card	Travel		Parking	90	Expense		90	INR	90
14/01/25	self-cash	Grocery		Sankranti-veggies-Shoprite	810	Expense		810	INR	810
14/01/25	not-self-cash	Grocery		Sankranti-veggies-Shoprite	1500	Expense		1500	INR	1500
14/01/25	self-cash	Shopping		Blouse-piece	240	Expense		240	INR	240
14/01/25	not-self-cash	Shopping		Blouse-piece	600	Expense		600	INR	600
15/01/25	self-cash	Grocery		Blinkit	410	Expense		410	INR	410
15/01/25	not-self-cash	Grocery		Blinkit	100	Expense		100	INR	100
15/01/25	self-card	Grocery		Zepto	342	Expense		342	INR	342
15/01/25	not-self-card	Grocery		Zepto	600	Expense		600	INR	600
16/01/25	not-self-cash	Health		Sagar-lab	592	Expense		592	INR	592
16/01/25	self-card	Grocery		Zepto	1500	Expense		1500	INR	1500
16/01/25	not-self-card	Grocery		Zepto	155	Expense		155	INR	155
18/01/25	self-cash	Food		Food	600	Expense		600	INR	600
18/01/25	self-card	Travel		Auto	130	Expense		130	INR	130
19/01/25	self-card	Travel		Auto	130	Expense		130	INR	130
20/01/25	not-self-card	Utility		Mobile-recharge	1999	Expense		1999	INR	1999
20/01/25	not-self-card	Grocery		Bigbasket	332	Expense		332	INR	332
20/01/25	self-cash	Travel		Auto	200	Expense		200	INR	200
20/01/25	not-self-cash	Food		Panipuri	80	Expense		80	INR	80
20/01/25	self-card	Food		House-of-common-MTR	3000	Expense		3000	INR	3000
20/01/25	not-self-cash	Grocery		Veggies	300	Expense		300	INR	300
20/01/25	self-card	Grocery		BB	1100	Expense		1100	INR	1100
20/01/25	not-self-card	Grocery		BB	119	Expense		119	INR	119
20/01/25	self-cash	Misc		Plumber	400	Expense		400	INR	400
20/01/25	self-cash	Grocery		Blinkit	520	Expense		520	INR	520
22/01/25	self-cash	Health		Medicines	1350	Expense		1350	INR	1350
22/01/25	not-self-cash	Health		Medicines	7212	Expense		7212	INR	7212
22/01/25	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
22/01/25	not-self-cash	Food		Masala-Puri	185	Expense		185	INR	185
22/01/25	self-cash	Food		La-Pinos	320	Expense		320	INR	320
22/01/25	self-card	Education		Amazon-color-mythri	166	Expense		166	INR	166
24/01/25	not-self-card	Grocery		Blinkit	222	Expense		222	INR	222
25/01/25	not-self-cash	Grocery		Fruits	475	Expense		475	INR	475
25/01/25	self-cash	Food		Taco	594	Expense		594	INR	594
25/01/25	not-self-card	Travel		Uber	162	Expense		162	INR	162
25/01/25	self-cash	Grocery		Lulu	601	Expense		601	INR	601
25/01/25	self-card	Travel		Parking	90	Expense		90	INR	90
25/01/25	self-card	Lifestyle		Prayag-Annual-day	775	Expense		775	INR	775
25/01/25	self-cash	Grocery		Namadhaari	1000	Expense		1000	INR	1000
25/01/25	self-cash	Shopping		Azorte-vihaan-shirts	1000	Expense		1000	INR	1000
25/01/25	self-cash	Food		pizza	300	Expense		300	INR	300
26/01/25	self-cash	Utility		Car-cleaner	1200	Expense		1200	INR	1200
26/01/25	self-cash	Food		Swiggy-icecream	300	Expense		300	INR	300
26/01/25	not-self-cash	Food		Swiggy-icecream	200	Expense		200	INR	200
27/01/25	self-card	Utility		Airtel	1297	Expense		1297	INR	1297
27/01/25	self-cash	Grocery		Instamart	650	Expense		650	INR	650
28/01/25	self-cash	Grocery		Blinkit	520	Expense		520	INR	520
28/01/25	not-self-card	Travel		Cab	256	Expense		256	INR	256
29/01/25	self-card	Food		Pizza	550	Expense		550	INR	550
29/01/25	self-card	Travel		Auto	62	Expense		62	INR	62
30/01/25	not-self-cash	Health		Sagar	424	Expense		424	INR	424
30/01/25	self-cash	Food		Idly	105	Expense		105	INR	105
30/01/25	self-cash	Grocery		Blinkit	400	Expense		400	INR	400
31/01/25	self-card	Travel		Auto	160	Expense		160	INR	160
