Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
02/11/24	self-cash	Food		Swiggy	930	Expense		930	INR	930
02/11/24	self-cash	Health		Doctor	310	Expense		310	INR	310
02/11/24	self-card	Grocery		Zepto	313	Expense		313	INR	313
03/11/24	self-cash	Travel		Auto-cab	70	Expense		70	INR	70
03/11/24	self-card	Travel		Auto-cab	180	Expense		180	INR	180
03/11/24	self-card	Lifestyle		Funcity	3200	Expense		3200	INR	3200
03/11/24	self-cash	Food		Youmee	2500	Expense		2500	INR	2500
03/11/24	self-cash	Food		McD	155	Expense		155	INR	155
03/11/24	self-cash	Grocery		lulu	1020	Expense		1020	INR	1020
04/11/24	self-card	Travel		Auto	50	Expense		50	INR	50
04/11/24	self-cash	Lifestyle		Temple	320	Expense		320	INR	320
04/11/24	self-card	Travel		Auto	82	Expense		82	INR	82
04/11/24	self-card	Travel		Auto	76	Expense		76	INR	76
04/11/24	self-cash	Grocery		Amazon	300	Expense		300	INR	300
04/11/24	self-card	Travel		Auto	60	Expense		60	INR	60
04/11/24	not-self-card	Travel		Auto	125	Expense		125	INR	125
04/11/24	self-cash	Travel		Auto	70	Expense		70	INR	70
04/11/24	self-card	Grocery		BB	2323	Expense		2323	INR	2323
04/11/24	not-self-card	Grocery		BB	942	Expense		942	INR	942
05/11/24	self-cash	Grocery		Zepto	706	Expense		706	INR	706
05/11/24	not-self-cash	Grocery		Zepto	100	Expense		100	INR	100
06/11/24	self-card	Travel		auto	150	Expense		150	INR	150
07/11/24	self-card	Travel		auto	76	Expense		76	INR	76
08/11/24	self-card	Travel		Auto	134	Expense		134	INR	134
08/11/24	self-card	Travel		Cab	421	Expense		421	INR	421
08/11/24	self-cash	Travel		Cab	340	Expense		340	INR	340
09/11/24	self-card	Grocery		BB	423	Expense		423	INR	423
09/11/24	not-self-card	Grocery		BB	450	Expense		450	INR	450
09/11/24	self-card	Travel		Auto	165	Expense		165	INR	165
09/11/24	self-cash	Food		Ishta	1640	Expense		1640	INR	1640
