Date	Account	Category	Subcategory	Note	INR	Income/Expense	Description	Amount	Currency	Account
01/10/24	self-card	Grocery		AZ	3150	Expense		3150	INR	3150
01/10/24	self-cash	Grocery		BI	520	Expense		520	INR	520
01/10/24	self-cash	Travel		Auto	80	Expense		80	INR	80
01/10/24	self-card	Travel		Auto	90	Expense		90	INR	90
02/10/24	self-cash	Shopping		Lego	4812	Expense		4812	INR	4812
02/10/24	self-cash	Utility		Maids	2500	Expense		2500	INR	2500
02/10/24	self-cash	Utility		Maids	3200	Expense		3200	INR	3200
03/10/24	not-self-cash	Health		Sagar	592	Expense		592	INR	592
03/10/24	self-cash	Grocery		Shoprite	133	Expense		133	INR	133
03/10/24	not-self-cash	Grocery		Shoprite	600	Expense		600	INR	600
03/10/24	self-cash	Grocery		Shankar	375	Expense		375	INR	375
03/10/24	not-self-cash	Grocery		Shankar	991	Expense		991	INR	991
03/10/24	self-card	Grocery		AZ-Fresh	1379	Expense		1379	INR	1379
03/10/24	not-self-card	Grocery		AZ-Fresh	1751	Expense		1751	INR	1751
04/10/24	self-cash	Shopping		Myntra	2016	Expense		2016	INR	2016
04/10/24	self-cash	Shopping		Ajio	2520	Expense		2520	INR	2520
05/10/24	self-cash	Food		Pancake	170	Expense		170	INR	170
06/10/24	self-cash	Lifestyle		Vasavi-thaddinam	270	Expense		270	INR	270
06/10/24	self-cash	Food		Brahmins	280	Expense		280	INR	280
06/10/24	self-card	Gift		Babai-pan	107	Expense		107	INR	107
06/10/24	self-cash	Food		Pizza	470	Expense		470	INR	470
07/10/24	self-cash	Food		Swiggy	540	Expense		540	INR	540
08/10/24	self-cash	Grocery		Veggies-SRite	140	Expense		140	INR	140
08/10/24	not-self-cash	Grocery		Veggies-SRite	642	Expense		642	INR	642
08/10/24	self-cash	Grocery		Blinkit	540	Expense		540	INR	540
08/10/24	self-card	Shopping		AZ-citric-caustic	505	Expense		505	INR	505
09/10/24	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
09/10/24	self-cash	Grocery		Zepto	290	Expense		290	INR	290
09/10/24	not-self-cash	Grocery		Zepto	750	Expense		750	INR	750
10/10/24	self-cash	Food		UTK	1500	Expense		1500	INR	1500
10/10/24	self-cash	Lifestyle		Funcity	2700	Expense		2700	INR	2700
10/10/24	self-cash	Grocery		Lulu	1632	Expense		1632	INR	1632
10/10/24	self-card	Food		SW-breakfast	262	Expense		262	INR	262
10/10/24	self-card	Food		Icecream	68	Expense		68	INR	68
10/10/24	self-cash	Travel		Parking	110	Expense		110	INR	110
11/10/24	self-cash	Shopping		Saree-plus	3	Expense		3	INR	3
11/10/24	self-cash	Shopping		blouse-pieces	1700	Expense		1700	INR	1700
11/10/24	self-card	Travel		Auto	93	Expense		93	INR	93
11/10/24	self-cash	Lifestyle		Festival-expenses	200	Expense		200	INR	200
11/10/24	not-self-cash	Lifestyle		Festival-expenses	200	Expense		200	INR	200
11/10/24	self-cash	Grocery		Vadibeyam-samanlu	150	Expense		150	INR	150
12/10/24	self-cash	Food		food	660	Expense		660	INR	660
12/10/24	self-cash	Lifestyle		Adi-Temple	610	Expense		610	INR	610
14/10/24	not-self-cash	Food		Athitya	330	Expense		330	INR	330
14/10/24	not-self-cash	Grocery		Veggies	110	Expense		110	INR	110
14/10/24	self-cash	Grocery		Veggies	110	Expense		110	INR	110
14/10/24	self-cash	Food		Pizza	260	Expense		260	INR	260
14/10/24	self-cash	Utility		Gas	400	Expense		400	INR	400
14/10/24	self-cash	Grocery		Zepto	510	Expense		510	INR	510
16/10/24	self-cash	Travel		Petrol	3000	Expense		3000	INR	3000
16/10/24	self-cash	Grocery		Threptin	1000	Expense		1000	INR	1000
16/10/24	self-cash	Grocery		Shoprite	500	Expense		500	INR	500
16/10/24	not-self-cash	Grocery		Shoprite	582	Expense		582	INR	582
17/10/24	not-self-cash	Grocery		Shoprite	750	Expense		750	INR	750
17/10/24	not-self-cash	Health		Sagar	424	Expense		424	INR	424
17/10/24	self-cash	Food		Bday-cake	4000	Expense		4000	INR	4000
17/10/24	self-cash	Food		Pizza-advance	1000	Expense		1000	INR	1000
17/10/24	not-self-cash	Shopping		Light	520	Expense		520	INR	520
17/10/24	self-cash	Shopping		Birth-day-decor-and-return-gifts	3100	Expense		3100	INR	3100
17/10/24	self-card	Shopping		Birth-day-decor-and-return-gifts	1160	Expense		1160	INR	1160
17/10/24	self-cash	Shopping		Stationary	120	Expense		120	INR	120
18/10/24	self-cash	Misc		Pencils	250	Expense		250	INR	250
19/10/24	self-cash	Food		Swiggy	520	Expense		520	INR	520
19/10/24	self-card	Lifestyle		VR-game	150	Expense		150	INR	150
20/10/24	self-cash	Grocery		Dmart	3180	Expense		3180	INR	3180
20/10/24	self-cash	Food		Pizza	1300	Expense		1300	INR	1300
20/10/24	self-cash	Food		Cake	500	Expense		500	INR	500
20/10/24	self-cash	Food		Samosa	500	Expense		500	INR	500
20/10/24	self-cash	Lifestyle		Cutting	1150	Expense		1150	INR	1150
21/10/24	self-cash	Food		Vasavi	900	Expense		900	INR	900
21/10/24	self-cash	Lifestyle		Urben-clap	500	Expense		500	INR	500
